Was ist die Hauptstadt von Deutschland::Berlin
Was ist die Hauptstadt von Österreich::Wien
Was ist die Hauptstadt von Afghanistan::Kabul
Was ist die Hauptstadt von Ägypten::Kairo
Was ist die Hauptstadt von Albanien::Tirana
Was ist die Hauptstadt von Algerien::Algier
Was ist die Hauptstadt von Andorra::Andorra la Vella
Was ist die Hauptstadt von Angola::Luanda
Was ist die Hauptstadt von Antigua und Barbuda::St. Johns
Was ist die Hauptstadt von Argentienen::Buenos Aires
Was ist die Hauptstadt von Armenien::Jerewan
Was ist die Hauptstadt von Aserbaidschan::Baku
Was ist die Hauptstadt von Äthiopien::Addis Adeba
Was ist die Hauptstadt von Australien::Canberra
Was ist die Hauptstadt von Bahamas::Nassau
Was ist die Hauptstadt von Bahrain::Manama
Was ist die Hauptstadt von Bangladesh::Dhaka
Was ist die Hauptstadt von Barbados::Bridgetown
Was ist die Hauptstadt von Belarus::Minsk
Was ist die Hauptstadt von Belgien::Brüssel
